"","FechaInicio","Delito","Categoria","Sexo","Edad","CalidadJuridica","FechaHecho","HoraHecho","HoraInicio","geopoint","AlcaldiaHechos","ColoniaHechos","persona_fisica"
"597","24/12/2019","DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL","DELITO DE BAJO IMPACTO","Masculino",75,"VICTIMA Y DENUNCIANTE","24/12/2019",05:20:00,06:11:00,"19.4804925131,-99.0856375127","GUSTAVO A MADERO","AMPLIACIÓN CASAS ALEMÁN",TRUE
"598","24/12/2019","AMENAZAS","DELITO DE BAJO IMPACTO","Masculino",NA,"VICTIMA Y DENUNCIANTE","06/11/2019",07:30:00,06:38:00,"19.2888799927,-99.0392992419","TLAHUAC","CONCHITA A",TRUE
"599","24/12/2019","FEMINICIDIO","HOMICIDIO DOLOSO","Femenino",49,"CADAVER","24/12/2019",05:10:00,07:07:00,"19.3759839109,-99.1013977552","IZTAPALAPA","SAN JOSÉ ACULCO",TRUE
"600","24/12/2019","PERDIDA DE LA VIDA POR PARO CARDIACO","HECHO NO DELICTIVO","Masculino",49,"CADAVER","24/12/2019",04:47:00,07:07:00,"19.3951848009,-99.1933851003","ALVARO OBREGON","TOLTECA",TRUE
"601","24/12/2019","ROBO A TRANSEUNTE EN NEGOCIO CON VIOLENCIA","DELITO DE BAJO IMPACTO","Masculino",27,"VICTIMA Y DENUNCIANTE","23/12/2019",23:50:00,09:38:00,"19.3596368101,-99.1395313716","BENITO JUAREZ","MIRAVALLE",TRUE
"602","24/12/2019","ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA","ROBO DE VEHÍCULO CON Y SIN VIOLENCIA","Masculino",33,"VICTIMA Y DENUNCIANTE","24/12/2019",06:30:00,09:57:00,"19.3079235975,-99.24570076","LA MAGDALENA CONTRERAS","PUEBLO NUEVO BAJO",TRUE
"603","24/12/2019","ROBO DE ACCESORIOS DE AUTO","DELITO DE BAJO IMPACTO","Masculino",29,"VICTIMA Y DENUNCIANTE","20/12/2019",17:30:00,10:05:00,"19.3671419923,-99.1056811798","IZTAPALAPA","GRANJAS DE SAN ANTONIO",TRUE
"604","24/12/2019","ABUSO DE CONFIANZA","DELITO DE BAJO IMPACTO","Masculino",29,"VICTIMA Y DENUNCIANTE","11/12/2019",12:00:00,10:10:00,"19.4401392335,-99.1271418998","CUAUHTEMOC","CENTRO",TRUE
"605","24/12/2019","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA","Masculino",31,"VICTIMA Y DENUNCIANTE","23/12/2019",21:00:00,10:15:00,"19.3741199446,-99.1142768839","IZTAPALAPA","AMPLIACIÓN EL TRIUNFO",TRUE
"606","24/12/2019","DESPOJO","DELITO DE BAJO IMPACTO","Masculino",25,"VICTIMA Y DENUNCIANTE","23/12/2019",12:00:00,10:18:00,"19.2639620888,-99.1345312399","XOCHIMILCO","TEPEPAN",TRUE
"607","24/12/2019","USURPACIÓN DE IDENTIDAD","DELITO DE BAJO IMPACTO","Masculino",39,"VICTIMA Y DENUNCIANTE","11/12/2019",07:00:00,10:28:00,"19.4292533114,-99.2002076496","MIGUEL HIDALGO","POLANCO",TRUE
"608","24/12/2019","VIOLENCIA FAMILIAR","DELITO DE BAJO IMPACTO","Femenino",11,"VICTIMA","20/12/2019",17:00:00,10:35:00,"19.2984030042,-99.1754566101","TLALPAN","RÓMULO SANCHEZ MIRELES",TRUE
"609","24/12/2019","VIOLENCIA FAMILIAR","DELITO DE BAJO IMPACTO","Femenino",NA,"VICTIMA","20/12/2019",17:00:00,10:35:00,"19.2984030042,-99.1754566101","TLALPAN","RÓMULO SANCHEZ MIRELES",TRUE
"610","24/12/2019","ROBO A REPARTIDOR CON VIOLENCIA","ROBO A REPARTIDOR CON Y SIN VIOLENCIA","Masculino",59,"VICTIMA Y DENUNCIANTE","23/12/2019",16:40:00,10:39:00,"19.5085173987,-99.0935953364","GUSTAVO A MADERO","C.T.M. EL RISCO",TRUE
"611","24/12/2019","LESIONES INTENCIONALES POR ARMA BLANCA","DELITO DE BAJO IMPACTO","Masculino",NA,"LESIONADO","24/12/2019",10:40:00,10:41:00,"19.3893420976,-99.0438303403","IZTAPALAPA","CHINAMPAC DE JUÁREZ",TRUE
"612","24/12/2019","DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL","DELITO DE BAJO IMPACTO","Masculino",57,"VICTIMA Y DENUNCIANTE","24/12/2019",07:05:00,10:48:00,"19.4128301031,-99.1349883399","CUAUHTEMOC","VISTA ALEGRE",TRUE
"613","24/12/2019","HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION)","DELITO DE BAJO IMPACTO","Masculino",NA,"CADAVER","24/12/2019",07:40:00,10:50:00,"19.4507990968,-99.0673779101","GUSTAVO A MADERO","SAN JUAN DE ARAGÓN III SECCIÓN",TRUE
"614","24/12/2019","ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA","ROBO DE VEHÍCULO CON Y SIN VIOLENCIA","Masculino",52,"VICTIMA Y DENUNCIANTE","21/12/2019",20:00:00,11:03:00,"19.5611754719,-99.1423076502","GUSTAVO A MADERO","PRADOS DE CUAUTEPEC",TRUE
"615","24/12/2019","TENTATIVA DE EXTORSION","DELITO DE BAJO IMPACTO","Masculino",NA,"VICTIMA Y DENUNCIANTE","17/12/2019",00:30:00,11:06:00,"19.5246027306,-99.1706196053","GUSTAVO A MADERO","SANTA ROSA",FALSE
"616","24/12/2019","ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA","ROBO DE VEHÍCULO CON Y SIN VIOLENCIA","Femenino",45,"LESIONADO","24/12/2019",09:00:00,11:10:00,"19.4001002958,-99.09377446","IZTACALCO","GRANJAS MÉXICO",TRUE
